zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Navarretia fossalis
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Navarretia ojaiensis
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Navarretia prostrata
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Nolina cismontana
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Orcuttia californica
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Pelazoneuron puberulum
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Pentachaeta lyonii
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Phacelia hubbyi
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Phacelia ramosissima var.
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Phacelia stellaris
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Potentilla multijuga
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Quercus dumosa
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Rhinotropis cornuta var.
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Romneya coulteri
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Sagittaria sanfordii
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Senecio aphanactis
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Sidalcea neomexicana
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Suaeda taxifolia
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Symphyotrichum greatae
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SCOUP Biological Resources Technical Report.PDF:Tortula californica
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Review Draft CEQA IS for LACDBH SCOUP.PDF:sites, and two beach coreopsis (Coreopsis maritima) and red-sand verbena (Abronia maritima) were observed
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Review Draft CEQA IS for LACDBH SCOUP.PDF:Beach coreopsis (Coreopsis maritima) and red-sand verbena (Abronia maritima) are present at the Manhattan
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Review Draft CEQA IS for LACDBH SCOUP.PDF:Abronia maritima
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Review Draft CEQA IS for LACDBH SCOUP.PDF:Dithyrea maritima
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Review Draft CEQA IS for LACDBH SCOUP.PDF:Erysimum insulare
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Review Draft CEQA IS for LACDBH SCOUP.PDF:Isocoma menziesii
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Review Draft CEQA IS for LACDBH SCOUP.PDF:Juncus acutus ssp.
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Review Draft CEQA IS for LACDBH SCOUP.PDF:Phacelia stellaris
zips/2025040385/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Review Draft CEQA IS for LACDBH SCOUP.PDF:Suaeda taxifolia
zips/2025040388/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/_Initial_Study_040325.PDF:Shasta ageratina (Ageratina shastensis)
zips/2025040388/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/_Initial_Study_040325.PDF:Woolly balsamroot (Balsamorhiza lanata)
zips/2025040388/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/_Initial_Study_040325.PDF:Rattlesnake fern Botrypus virginianus
zips/2025040388/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/_Initial_Study_040325.PDF:Indian Valley brodiaea (Brodiaea rosea)
zips/2025040388/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/_Initial_Study_040325.PDF:Castle Crags harebell (Campanula shetleri)
zips/2025040388/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/_Initial_Study_040325.PDF:Oregon sedge (Carex halliana)
zips/2025040388/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/_Initial_Study_040325.PDF:Shasta chaenactis (Chaenactis suffrutescens)
zips/2025040388/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/_Initial_Study_040325.PDF:Pallid bird's-beak (Cordylanthus tenuis ssp. pallescens)
zips/2025040388/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/_Initial_Study_040325.PDF:Jepson’s dodder (Cuscuta jepsonii)
zips/2025040388/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/_Initial_Study_040325.PDF:Oregon fireweed (Epilobium oreganum
zips/2025040388/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/_Initial_Study_040325.PDF:Waldo daisy (Erigeron bloomeri var. nudatus)
zips/2025040388/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/_Initial_Study_040325.PDF:Shasta limestone monkeyflower (Erythranthe taylorii)
zips/2025040388/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/_Initial_Study_040325.PDF:Pink-margined monkeyflower (Erythranthe trinitiensis)
zips/2025040388/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/_Initial_Study_040325.PDF:Klamath fawn lily (Erythronium klamathense)
zips/2025040388/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/_Initial_Study_040325.PDF:Subalpine aster (Eurybia merita)
zips/2025040388/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/_Initial_Study_040325.PDF:Scott Mountain bedstraw (Galium serpenticum ssp. scotticum)
zips/2025040388/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/_Initial_Study_040325.PDF:Aleppo avens (Geum aleppicum)
zips/2025040388/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/_Initial_Study_040325.PDF:Alkali hymenoxys (Hymenoxys lemmonii)
zips/2025040388/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/_Initial_Study_040325.PDF:Baker's globe mallow (Iliamna bakeri)
zips/2025040388/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/_Initial_Study_040325.PDF:Castle Crags ivesia (Ivesia longibracteata)
zips/2025040388/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/_Initial_Study_040325.PDF:Pickering's ivesia (Ivesia pickeringii)
zips/2025040388/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/_Initial_Study_040325.PDF:Howell's lewisia (Lewisia cotyledon var. howellii)
